Indicators,iso1,iso2,iso3,iso4,iso5
AG.CON.FERT.ZS,0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722
AG.LND.AGRI.ZS,0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853
AG.LND.ARBL.HA.PC,0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615
AG.LND.ARBL.ZS,0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844
AG.LND.CROP.ZS,0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097
AG.LND.FRST.ZS,0.14437971884929,0.179344839473408,0.40076509892694,0.242002894149643,0.142770622297763
AG.LND.PRCP.MM,0.248630606084743,0.292627867862154,0.546322557983565,0.306359133334262,0.170964788964809
AG.PRD.CROP.XD,0.255094674680904,0.141271251255101,0.100842387740219,0.103646812663773,0.138000888279721
AG.PRD.FOOD.XD,0.309699980468995,0.0976175214763597,0.109047681027249,0.124689825078561,0.201533783596122
AG.PRD.LVSK.XD,0.293686504393465,0.0971250994433496,0.126732152351391,0.127957552208611,0.218426480656205
AG.YLD.CREL.KG,0.648379078886755,0.144587931986806,0.176287016158228,0.229235089858505,0.191502263193347
BG.GSR.NFSV.GD.ZS,0.252490479442604,0.186311723474101,0.105875873311016,0.129713329190997,0.237656498138462
BM.GSR.CMCP.ZS,0.273593833306019,0.147112293749596,0.129117128963809,0.202906118723942,0.121097766770579
BM.GSR.INSF.ZS,0.126173180815202,0.29913638540459,0.0947484363233486,0.14992864009699,0.136080016958606
BM.GSR.TRAN.ZS,0.44453707837234,0.118203820265595,0.0936425502644038,0.192538874560978,0.0864401577282275
BM.GSR.TRVL.ZS,0.298508938828137,0.123942317480371,0.137397958344924,0.137840841146103,0.107913387528783
BM.KLT.DINV.WD.GD.ZS,0.35750557263702,0.0965881520374399,0.183690705509379,0.210226009189917,0.118673911762009
BN.CAB.XOKA.GD.ZS,0.240107900266494,0.150101071836856,0.114274750437069,0.188538095694939,0.345845629813235
BX.GSR.CCIS.ZS,0.128238206537458,0.0679920776756288,0.06547072466414,0.116630486566898,0.11969190858879
BX.GSR.CMCP.ZS,0.177571599340426,0.12279526172091,0.0977002816760989,0.18589520870072,0.187050910312438
BX.GSR.INSF.ZS,0.228296726236086,0.188233207814966,0.188250832954345,0.245987447210036,0.079168633987479
BX.GSR.TRAN.ZS,0.157715741145462,0.222801985597548,0.229237932683351,0.100718151454919,0.202219845729726
BX.GSR.TRVL.ZS,0.224066213170283,0.174126006261409,0.118078859776005,0.182305501479415,0.314418873240581
BX.KLT.DINV.WD.GD.ZS,0.151497828105906,0.0786087948208829,0.0762989473667072,0.143541829878155,0.131381548041798
BX.TRF.PWKR.DT.GD.ZS,0.241701698754356,0.102532386003903,0.257098795803401,0.220295647083642,0.262787620909659
DT.DOD.DECT.GN.ZS,0.180171395271166,0.148407110693935,0.0829425443489861,0.115557697872473,0.131597926761162
DT.DOD.DSTC.IR.ZS,0.107468204550188,0.0418445049485395,0.044433812301954,0.0943309261847996,0.0398879402374101
DT.DOD.DSTC.XP.ZS,0.174759371867332,0.102432503092843,0.103121869709096,0.161734585592503,0.113529006971606
DT.DOD.DSTC.ZS,0.350555496143531,0.158013915481246,0.171079056861229,0.149370325299909,0.110471135122347
DT.ODA.ODAT.GI.ZS,0.575443171600942,0.32491818729042,0.176519017628006,0.23957305312362,0.169335029779123
DT.ODA.ODAT.GN.ZS,0.585156529867388,0.323671312650438,0.189479276652274,0.259535764762187,0.183395446773087
DT.ODA.ODAT.MP.ZS,0.686888007132326,0.349083761722467,0.222810105855643,0.290981952480818,0.173062873732727
DT.ODA.ODAT.PC.ZS,0.1949273653902,0.152048274291925,0.11586894676084,0.174980196531622,0.373535538162043
DT.TDS.DECT.EX.ZS,0.206829873482709,0.117674316967519,0.103745038124037,0.234503827638753,0.0991421771980327
DT.TDS.DECT.GN.ZS,0.367186017169245,0.153611292013661,0.176142762525822,0.242129746959683,0.105468036980297
DT.TDS.DPPF.XP.ZS,0.0807664413673001,0.183546113808986,0.0874007015226756,0.109335785440666,0.0884494092033007
DT.TDS.DPPG.GN.ZS,0.224876771442471,0.253412816342334,0.13859287929138,0.137787816476028,0.12774259094832
DT.TDS.DPPG.XP.ZS,0.0823732752637047,0.2532781047748,0.0842639576078725,0.122801742592081,0.0900498119267866
DT.TDS.MLAT.PG.ZS,0.349545571026688,0.0808215052639162,0.19555886970212,0.188743408443917,0.228098313557902
EG.CFT.ACCS.RU.ZS,0.845623670737496,0.255427998597674,0.208612832512225,0.187656124172666,0.143536823508848
EG.CFT.ACCS.UR.ZS,0.81463370094762,0.308886263107555,0.250469909120871,0.1718376267111,0.157181627277381
EG.CFT.ACCS.ZS,0.854368804698407,0.297712880804195,0.226738423249732,0.181626578209853,0.146103717446972
EG.EGY.PRIM.PP.KD,0.260604021124133,0.340769163771906,0.181003466196591,0.106910922607593,0.255077895900416
EG.ELC.ACCS.RU.ZS,0.839833162857469,0.238529173124193,0.217645285226599,0.236060521251647,0.149853818298555
EG.ELC.ACCS.UR.ZS,0.764756460821079,0.281098239925607,0.218698062356836,0.258600871586007,0.156174455766275
EG.ELC.ACCS.ZS,0.849002831172386,0.30109965550329,0.239505674266893,0.247360014077063,0.151793288034095
EG.ELC.COAL.ZS,0.336905508104215,0.278026818908426,0.130335210873886,0.139651534578792,0.133485258977282
EG.ELC.FOSL.ZS,0.19913018783563,0.236493149471322,0.286461812057898,0.17987713556651,0.323571396552546
EG.ELC.HYRO.ZS,0.331972621509569,0.154891952557851,0.250694871023923,0.231805916470898,0.249727689393489
EG.ELC.LOSS.ZS,0.514133815105465,0.111495703852066,0.255855718760233,0.243422953708069,0.177316685060541
EG.ELC.NGAS.ZS,0.230176925211616,0.204408971230084,0.300906939009264,0.116802108343945,0.463420627240748
EG.ELC.NUCL.ZS,0.484044496281237,0.306060853250988,0.0695743045020406,0.139063514911257,0.104589411596454
EG.ELC.PETR.ZS,0.284372057945289,0.343853438560398,0.109066735010857,0.108634697793613,0.133332476180425
EG.ELC.RNEW.ZS,0.289297859700097,0.204272186709023,0.28547668154243,0.191696784867973,0.198401642792218
EG.ELC.RNWX.ZS,0.288978559763559,0.186612831572162,0.375132339566968,0.118890664661969,0.181971266728333
EG.FEC.RNEW.ZS,0.729640518400886,0.336484753559744,0.33697568189104,0.171603436183801,0.215168952711924
EG.GDP.PUSE.KO.PP,0.153891330060762,0.46387903974867,0.194188434705574,0.135105430729194,0.173603198278241
EG.GDP.PUSE.KO.PP.KD,0.178339334818804,0.426252540717186,0.268366938223911,0.142200982022951,0.279798947502663
EG.IMP.CONS.ZS,0.26690556892254,0.328439258968512,0.178227639969048,0.198580679118881,0.375457320152584
EG.USE.COMM.CL.ZS,0.436615683287965,0.257577965349333,0.181915960529215,0.148623678890945,0.249183126626841
EG.USE.COMM.FO.ZS,0.585746009083987,0.247987686449038,0.317553395708987,0.162826608620398,0.201139138301617
EG.USE.COMM.GD.PP.KD,0.225748887009697,0.411040918350932,0.236642100637575,0.149965200334631,0.237605652064296
EG.USE.CRNW.ZS,0.719212886035889,0.217969671049944,0.293032288436379,0.144377461132829,0.158124774169989
EG.USE.ELEC.KH.PC,0.763103820256453,0.174983446508485,0.255490443093767,0.434814871626694,0.27674177766912
EG.USE.PCAP.KG.OE,0.711305868993794,0.197878849586848,0.181955778486039,0.378977036840511,0.355096941263543
