yhat,key,value,indiacator,Importance,RMSE,Rsquared,MAE
308150.187257047,iso1,-2.47279098783513,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-2.37996529260521,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-2.28713959737529,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-2.19431390214537,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-2.10148820691544,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-2.00866251168552,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-1.9158368164556,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-1.82301112122568,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-1.73018542599576,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-1.63735973076584,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-1.54453403553592,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
308150.187257047,iso1,-1.45170834030599,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
305756.75697849,iso1,-1.35888264507607,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
305141.280402269,iso1,-1.26605694984615,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
269748.156401095,iso1,-1.17323125461623,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
268101.599533019,iso1,-1.08040555938631,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
267660.560335421,iso1,-0.987579864156388,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
270998.381645065,iso1,-0.894754168926466,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
270998.381645065,iso1,-0.801928473696545,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
270998.381645065,iso1,-0.709102778466623,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
269872.94718306,iso1,-0.616277083236702,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
262550.665489768,iso1,-0.523451388006781,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
263020.025854919,iso1,-0.430625692776859,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
265212.7328236,iso1,-0.337799997546938,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
265212.7328236,iso1,-0.244974302317016,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
265456.876429214,iso1,-0.152148607087095,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
282352.837184021,iso1,-0.0593229118571736,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
291554.382146143,iso1,0.0335027833727479,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
293243.267848685,iso1,0.12632847860267,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
302446.824591426,iso1,0.219154173832591,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
317501.024193406,iso1,0.311979869062512,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
275718.730130245,iso1,0.404805564292433,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
239890.491510589,iso1,0.497631259522355,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219354.885594061,iso1,0.590456954752276,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219414.658077427,iso1,0.683282649982198,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219414.658077427,iso1,0.776108345212119,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219414.658077427,iso1,0.86893404044204,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219414.658077427,iso1,0.961759735671962,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219549.988414667,iso1,1.05458543090188,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219549.988414667,iso1,1.1474111261318,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219549.988414667,iso1,1.24023682136173,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219549.988414667,iso1,1.33306251659165,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
219549.988414667,iso1,1.42588821182157,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
234968.966290552,iso1,1.51871390705149,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
230225.480034165,iso1,1.61153960228141,AG.LND.AGRI.K2,0,363764.319312803,0.775725264705664,192017.478245288
