"","Country Code","Short Name","pscore_mean","P_mort_2020","P_mort_2021"
"3959","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3960","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3961","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3962","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3963","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3964","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3965","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3966","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3967","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3968","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3969","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3970","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3971","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3972","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3973","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3974","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3975","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3976","SVN","Slovenia",13.3,16.0095693779904,10.6699751861042
"3977","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3978","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3979","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3980","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3981","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3982","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3983","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3984","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3985","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3986","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3987","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3988","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3989","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3990","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3991","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3992","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3993","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3994","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3995","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3996","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3997","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3998","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"3999","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"4000","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"4001","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"4002","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"4003","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"4004","SWE","Sweden",7.6,9.08993701949295,2.92756614150612
"4005","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4006","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4007","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4008","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4009","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4010","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4011","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4012","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4013","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4014","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4015","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4016","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4017","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4018","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4019","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4020","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4021","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4022","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4023","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4024","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4025","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4026","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4027","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4028","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4029","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4030","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4031","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4032","SWZ","Eswatini",16.7,7.92609221205319,25.6109395677106
"4033","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4034","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4035","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4036","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4037","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4038","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4039","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4040","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4041","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4042","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4043","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4044","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4045","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4046","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4047","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4048","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4049","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4050","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4051","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4052","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4053","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4054","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4055","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4056","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4057","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4058","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4059","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4060","TCD","Chad",6.5,4.69371305749597,8.22919043719881
"4061","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4062","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4063","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4064","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4065","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4066","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4067","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4068","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4069","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4070","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4071","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4072","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4073","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4074","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4075","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4076","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4077","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4078","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4079","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4080","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4081","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4082","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4083","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4084","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4085","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4086","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4087","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4088","TGO","Togo",-6.4,-9.5398285097903,-3.2631326810753
"4089","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4090","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4091","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
"4092","THA","Thailand",1.5,-3.01849935692251,5.80168261560005
