identifier,identifier_CountryYear,iso1,iso2,iso3,iso4,iso5,iso6,iso7,country,Country Code,year.x,month.x,type,expected.mean,acm.mean,excess.mean,cumul.excess.mean,cumul.excess.low,cumul.excess.high,p_value_mort,date,iso_code,location,stringency_index,weekly_hosp_admissions,weekly_icu_admissions,new_cases_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,new_cases_per_million,tests_per_case,people_fully_vaccinated_per_hundred,new_tests_per_thousand,weekly_icu_admissions_per_million,weekly_hosp_admissions_per_million,year.y,month.y,continent,population,median_age,aged_65_older,aged_70_older,human_development_index,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,handwashing_facilities,life_expectancy,population_density,diabetes_prevalence,cardiovasc_death_rate,meanTemp
AFG_2020_10,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,10,Predicted,21386,23935,2549,10936,-6874,28958,11.9190124380436,2020-10-01,AFG,Afghanistan,17.0570967741936,0,0,1.36458064516129,0,48.139,0,0,0,0,0,2020,10,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,12.03
AFG_2020_11,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,11,Predicted,22286,26847,4561,15498,-4236,35380,20.4657632594454,2020-11-01,AFG,Afghanistan,11.2986666666667,0,0,3.7252,0,118.678,0,0,0,0,0,2020,11,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,5.52
AFG_2020_12,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,12,Predicted,23037,26932,3895,19392,-1297,40224,16.9075834527065,2020-12-01,AFG,Afghanistan,12.04,0,0,4.98929032258065,0,148.681,0,0,0,0,0,2020,12,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,0.48
AFG_2020_3,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,3,Predicted,21941,21554,-388,1445,-8641,12505,-1.76837883414612,2020-03-01,AFG,Afghanistan,40.831935483871,0,0,0.0827333333333333,0,3.964,0,0,0,0,0,2020,3,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,7.94
AFG_2020_4,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,4,Predicted,21207,19998,-1209,236,-11972,12862,-5.70094780025463,2020-04-01,AFG,Afghanistan,80.74,0,0,1.1765,0,40.386,0,0,0,0,0,2020,4,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,13.54
AFG_2020_5,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,5,Predicted,20457,20584,127,363,-12100,13957,0.620814391161949,2020-05-01,AFG,Afghanistan,84.26,0,0,9.09935483870968,0,324.664,0,0,0,0,0,2020,5,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,19.02
AFG_2020_6,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,6,Predicted,19822,22238,2416,2779,-11455,17186,12.1884774492988,2020-06-01,AFG,Afghanistan,84.0746666666667,0,0,14.2107333333333,0,395.466,0,0,0,0,0,2020,6,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,23.64
AFG_2020_7,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,7,Predicted,19562,22810,3248,6027,-9588,22232,16.6036192618342,2020-07-01,AFG,Afghanistan,78.7,0,0,4.49570967741936,0,126.017,0,0,0,0,0,2020,7,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,25.87
AFG_2020_8,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,8,Predicted,19724,20872,1148,7175,-8939,23900,5.82032042182113,2020-08-01,AFG,Afghanistan,56.8409677419355,0,0,1.40290322580645,0,39.387,0,0,0,0,0,2020,8,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,24.46
AFG_2020_9,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,Afghanistan,AFG,2020,9,Predicted,20509,21721,1213,8387,-8830,25119,5.9144765712614,2020-09-01,AFG,Afghanistan,28.7,0,0,0.8841,0,26.892,0,0,0,0,0,2020,9,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,18.37
AFG_2021_1,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,1,Predicted,23180,24824,1644,21037,-364,41959,7.0923209663503,2021-01-01,AFG,Afghanistan,12.04,0,0,2.25393548387097,0,65.477,0,0,0,0,0,2021,1,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,-0.55
AFG_2021_10,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,10,Predicted,21436,22736,1299,41265,13264,69941,6.05989923493189,2021-10-01,AFG,Afghanistan,33.9938709677419,0,0,0.863838709677419,4.102,26.162,0,0,0,0,0,2021,10,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,12.98
AFG_2021_11,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,11,Predicted,22327,24053,1726,42991,12962,73708,7.73055045460653,2021-11-01,AFG,Afghanistan,27.78,0,0,0.839066666666667,2.935,25.261,0,7.75,0,0,0,2021,11,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,6.72
AFG_2021_12,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,12,Predicted,23086,24628,1542,44533,14283,75667,6.67937278003985,2021-12-01,AFG,Afghanistan,23.7445161290323,0,0,0.636838709677419,1.091,19.333,0,9.13,0,0,0,2021,12,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,3.98
AFG_2021_2,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,2,Predicted,22490,22217,-273,20764,-616,42672,-1.21387283236994,2021-02-01,AFG,Afghanistan,12.04,0,0,0.693035714285714,0.018,16.803,0,0,0,0,0,2021,2,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,5.65
AFG_2021_3,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,3,Predicted,21968,21943,-24,20739,-1916,43465,-0.10924981791697,2021-03-01,AFG,Afghanistan,24.1061290322581,0,0,0.504129032258065,0.205,17.993,0,0,0,0,0,2021,3,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,9.81
AFG_2021_4,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,4,Predicted,21245,22756,1511,22250,-1128,47050,7.11226170863733,2021-04-01,AFG,Afghanistan,26.85,0,0,2.3481,0.495,80.017,0,0,0,0,0,2021,4,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,15.27
AFG_2021_5,AFG_2021,-1.37705098142529,-0.504689300744202,-0.169231133330511,0.960667490915206,0.174358102237584,0.618437875522379,0.442766332711662,Afghanistan,AFG,2021,5,Predicted,20470,22935,2465,24716,382,51158,12.0420127015144,2021-05-01,AFG,Afghanistan,33.3022580645161,0,0,7.88212903225807,0.454,294.029,0,1.41,0,0,0,2021,5,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,19.94
