nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
50,3,0.05,0,1,0,1,8.41689816655144,0.619081112464899,6.52775404580434,5.67956200411594,0.353131726999311,3.68528026051484
50,3,0.05,5,1,0,1,8.56117595915613,0.53537111339706,6.22974206823773,6.08661516687245,0.315828096916113,3.46386448697497
50,3,0.05,5,1,0,1,7.56909810708564,0.598228965838644,5.90495660119587,5.21069561084316,0.29538978976682,3.52955633296662
50,3,0.05,5,1,0,1,7.95408393465242,0.604342069357842,6.13310352309545,6.78459723851823,0.271286151420398,4.163953482038
50,3,0.05,5,1,0,1,8.41531532220605,0.602354790973301,6.59362210440636,7.46328895688731,0.354048786046714,5.23274060255014
50,3,0.05,0,1,0,1,7.85455192606279,0.577052626078917,6.06104496428702,5.87949940253968,0.335898039512753,3.80035883992209
50,3,0.05,5,1,0,1,6.70258642631818,0.632487976325034,5.28878939419323,3.94707552852545,0.309403128945888,3.07810777682683
50,3,0.05,0,1,0,1,8.10914986573694,0.604309103103014,6.1257383667628,5.61309843832246,0.297094826125191,3.60984494931059
50,3,0.05,0,1,0,1,7.42713451651174,0.537596959480054,5.70677654830615,3.44098270977841,0.313550501940849,2.18639855860073
50,3,0.05,1,1,0,1,7.28554939075363,0.570852229359747,5.59306351039145,3.31213111876301,0.300477885295945,2.0909944381288
50,3,0.05,5,1,0,1,8.35495739712322,0.64586500460955,6.27221146127913,6.19340475020769,0.300297149336395,3.35848391920742
50,3,0.05,5,1,0,1,8.02942621923842,0.602470481906881,5.99096136744817,5.83574549893672,0.290490259529634,3.57470570101579
50,3,0.05,1,1,0,1,8.62937522011971,0.580185135483457,6.50242595259349,6.9475545850717,0.312810688201701,4.46937657328785
50,3,0.05,1,1,0,1,8.68317608115892,0.550511199647825,6.33468520916833,5.68788973700198,0.333282243298964,3.20703620418328
50,3,0.05,0,1,0,1,7.21393725934417,0.581773877882444,5.33411126041412,3.13060496809727,0.324298345024329,2.07707995244519
50,3,0.05,5,1,0,1,7.74585392904941,0.634585612842616,6.03659006974432,5.92449876869711,0.254231405805946,3.80784342866398
50,3,0.05,0,1,0,1,8.14966051447759,0.630969894833937,6.18217337878545,5.68343930453218,0.316044822240028,3.52641687543709
50,3,0.05,5,1,0,1,6.81599150321121,0.620681057617018,5.4232365814315,4.00817331739142,0.271210508018147,3.09969252961917
50,3,0.05,5,1,0,1,7.71843521271584,0.631264038950085,5.9117591471937,6.64374636654115,0.285202507377527,3.95525602650565
50,3,0.05,0,1,0,1,7.54952627611838,0.663202181868837,5.94196284421285,5.6011858415945,0.313068907426046,3.56103118933398
50,3,0.05,5,1,0,1,7.95967283446341,0.670341501598491,6.14190829406844,5.47294774380552,0.28957515543356,3.94268180356781
50,3,0.05,0,1,0,1,6.89610099195455,0.65468849189064,5.49068036513858,2.94345908090699,0.284255760621303,2.17022436552865
50,3,0.05,0,1,0,1,8.29182872820619,0.562117351755788,6.27864806773928,6.01785238913199,0.296287928716342,3.75487414208165
50,3,0.05,1,1,0,1,8.12325796702094,0.580590194245115,6.23191180621253,6.54883320578423,0.351249780260995,4.4031221742709
50,3,0.05,5,1,0,1,7.8947953215766,0.659168221831303,6.01380752632353,5.75007825249533,0.277666242949596,3.09789602158582
50,3,0.05,0,1,0,1,7.60294559624486,0.538289920930642,5.98687407726712,4.29724902545951,0.301555227169227,3.04262936279442
50,3,0.05,0,1,0,1,8.45526991787048,0.558245928977154,6.41138171524472,5.87207122908773,0.339120049704204,3.54027991735933
50,3,0.05,1,1,0,1,6.41290968655656,0.701005305718075,4.82377804491255,4.91994957791775,0.253681854336066,3.17237250867353
50,3,0.05,1,1,0,1,7.58423618148674,0.630880018928274,5.72554642412398,5.14170243750677,0.274154584476964,2.99729740214054
50,6,0.05,1,1,0,1,8.4121852036762,0.553590124317765,6.37016448127561,6.37811983689951,0.342179119077615,3.89840634363373
50,3,0.05,0,1,0,1,6.90190912225958,0.602158542806408,5.33819752195146,3.08796752912847,0.322627766072922,2.06934079076911
50,3,0.05,5,1,0,1,7.5995545578427,0.708183446669607,5.86256806598769,5.22768220621692,0.253520807701605,3.2344869999386
50,6,0.05,5,1,0,1,7.37163301169749,0.590814248494951,5.73229625624749,4.40905933858016,0.327804650103565,3.30322037779335
50,3,0.05,1,1,0,1,7.84933263245006,0.593632910078533,5.77628213474486,5.22898283928035,0.289559052005473,3.18161938661622
50,6,0.05,1,1,0,1,6.34387247216621,0.620125602235323,5.07401804410087,2.75572742475571,0.29618061934888,2.02872169132232
50,3,0.05,0,1,0,1,7.63742749557875,0.633282098325286,5.76000762987137,6.06284347216596,0.360050330286666,3.72456787261377
50,3,0.05,0,1,0,1,7.74183191028526,0.693951086445959,5.98345876465903,5.16519827302974,0.270516660132886,3.25255807424214
50,3,0.05,0,1,0,1,8.45034002564947,0.541016138377127,6.46629980150859,5.1938175176905,0.34779256569509,3.46810765446351
50,3,0.05,1,1,0,1,8.24425049655391,0.608325233114091,6.29063804531097,5.17537560302346,0.30919634583894,3.29179172425816
50,3,0.05,0,1,0,1,8.08255557054239,0.596217773436882,5.96868028555976,5.75502864707362,0.267845394742159,3.27964544557024
