identifier,identifier_CountryYear,iso1,iso2,iso3,iso4,iso5,iso6,iso7,iso8,iso9,iso10,iso11,iso12,iso13,iso14,iso15,iso16,iso17,iso18,iso19,iso20,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,country,Country Code,year.x,month.x,type,expected.mean,acm.mean,excess.mean,cumul.excess.mean,cumul.excess.low,cumul.excess.high,p_value_mort,date,iso_code,location,stringency_index,weekly_hosp_admissions,weekly_icu_admissions,new_cases_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,new_cases_per_million,tests_per_case,people_fully_vaccinated_per_hundred,new_tests_per_thousand,weekly_icu_admissions_per_million,weekly_hosp_admissions_per_million,year.y,month.y,continent,population,median_age,aged_65_older,aged_70_older,human_development_index,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,handwashing_facilities,life_expectancy,population_density,diabetes_prevalence,cardiovasc_death_rate,diffTemp
AFG_2020_10,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,10,Predicted,21386,23935,2549,10936,-6874,28958,11.9190124380436,2020-10-01,AFG,Afghanistan,17.0570967741936,0,0,1.36458064516129,0,48.139,0,0,0,0,0,2020,10,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,-0.906974789915967
AFG_2020_11,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,11,Predicted,22286,26847,4561,15498,-4236,35380,20.4657632594454,2020-11-01,AFG,Afghanistan,11.2986666666667,0,0,3.7252,0,118.678,0,0,0,0,0,2020,11,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,-1.04386554621849
AFG_2020_12,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,12,Predicted,23037,26932,3895,19392,-1297,40224,16.9075834527065,2020-12-01,AFG,Afghanistan,12.04,0,0,4.98929032258065,0,148.681,0,0,0,0,0,2020,12,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,-1.67882352941176
AFG_2020_3,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,3,Predicted,21941,21554,-388,1445,-8641,12505,-1.76837883414612,2020-03-01,AFG,Afghanistan,40.831935483871,0,0,0.0827333333333333,0,3.964,0,0,0,0,0,2020,3,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,0.748235294117648
AFG_2020_4,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,4,Predicted,21207,19998,-1209,236,-11972,12862,-5.70094780025463,2020-04-01,AFG,Afghanistan,80.74,0,0,1.1765,0,40.386,0,0,0,0,0,2020,4,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,0.263025210084033
AFG_2020_5,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,5,Predicted,20457,20584,127,363,-12100,13957,0.620814391161949,2020-05-01,AFG,Afghanistan,84.26,0,0,9.09935483870968,0,324.664,0,0,0,0,0,2020,5,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,0.892100840336134
AFG_2020_6,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,6,Predicted,19822,22238,2416,2779,-11455,17186,12.1884774492988,2020-06-01,AFG,Afghanistan,84.0746666666667,0,0,14.2107333333333,0,395.466,0,0,0,0,0,2020,6,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,0.996806722689076
AFG_2020_7,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,7,Predicted,19562,22810,3248,6027,-9588,22232,16.6036192618342,2020-07-01,AFG,Afghanistan,78.7,0,0,4.49570967741936,0,126.017,0,0,0,0,0,2020,7,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,1.00478991596639
AFG_2020_8,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,8,Predicted,19724,20872,1148,7175,-8939,23900,5.82032042182113,2020-08-01,AFG,Afghanistan,56.8409677419355,0,0,1.40290322580645,0,39.387,0,0,0,0,0,2020,8,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,1.0181512605042
AFG_2020_9,AFG_2020,-1.58038637024612,-0.562685966254373,-0.353103186515659,0.899412760528847,0.0397307653333474,0.401140149232305,0.375094771723368,0.200404323755157,-0.123386161125138,-0.171851924391389,-0.00666678222335225,-0.19997437382595,-0.142772999391786,0.150430507838582,-0.266182854414766,-0.183225059661356,0.277923555377837,-0.215016489141472,-0.281144567704305,-0.290533627870413,-14.0049315268745,3.55095064400904,1.79903390817104,-0.14975515315417,-3.66456580682381,-3.77444376093645,-4.50985352477903,-4.32977877210549,-4.46705444587039,-1.49217879084584,7.30519334191819,5.97064972767634,-12.2647948244356,-2.02885601695518,-6.17062751260138,-10.739221064252,-7.02302992287058,0.944084432178919,5.34297772937324,4.53560449491738,Afghanistan,AFG,2020,9,Predicted,20509,21721,1213,8387,-8830,25119,5.9144765712614,2020-09-01,AFG,Afghanistan,28.7,0,0,0.8841,0,26.892,0,0,0,0,0,2020,9,Asia,41128772,18.6,2.581,1.337,0.511,1803.987,,,,37.746,64.83,54.422,9.59,597.029,-0.287142857142857
